accession	phylum	class	species
GB_GCA_041494275	Thermoplasmatota	Thermoplasmata	COMBO-56-21 sp041494275
RS_GCF_013340765	Thermoproteota	Nitrososphaeria	Conexivisphaera calida
GB_GCA_030756755	Thermoproteota	Nitrososphaeria	Conexivisphaera sp023256385
GB_GCA_040878405	Thermoproteota	Nitrososphaeria	CSP1-1 sp001443365
GB_GCA_963919815	Thermoproteota	Nitrososphaeria	CSP1-1 sp016276965
GB_GCA_963919885	Thermoproteota	Nitrososphaeria	CSP1-1 sp022573065
GB_GCA_032128215	Thermoproteota	Nitrososphaeria	CSP1-1 sp032128215
GB_GCA_035620615	Thermoproteota	Nitrososphaeria	CSP1-1 sp035620615
GB_GCA_025060975	Thermoproteota	Methanomethylicia	Culexarchaeum nevadense
GB_GCA_020833005	Thermoproteota	Methanomethylicia	Culexarchaeum sp020833005
GB_GCA_038888655	Thermoproteota	Methanomethylicia	Culexarchaeum sp038727515
GB_GCA_024707015	Thermoproteota	Methanomethylicia	Culexarchaeum yellowstonense
GB_GCA_025061095	Thermoproteota	Methanomethylicia	Culexmicrobium_B thermophilum
RS_GCF_900090055	Thermoplasmatota	Thermoplasmata	Cuniculiplasma divulgatum
GB_GCA_021794355	Thermoplasmatota	Thermoplasmata	Cuniculiplasma sp021794355
GB_GCA_027310185	Thermoplasmatota	Thermoplasmata	Cuniculiplasma sp021816385
GB_GCA_027349105	Thermoplasmatota	Thermoplasmata	Cuniculiplasma sp021816745
GB_GCA_027343905	Thermoplasmatota	Thermoplasmata	Cuniculiplasma sp021820525
GB_GCA_021846465	Thermoplasmatota	Thermoplasmata	Cuniculiplasma sp023381355
GB_GCA_027316645	Thermoplasmatota	Thermoplasmata	Cuniculiplasma sp027316895
GB_GCA_041661025	Micrarchaeota	Micrarchaeia	DAHXMR01 sp041661025
GB_GCA_036171435	Aenigmatarchaeota	Aenigmatarchaeia	DAIDAN01 sp036171435
GB_GCA_035548435	Nanobdellota	Nanobdellia	DAIEOU01 sp035548435
GB_GCA_036787775	Nanobdellota	Nanobdellia	DAIQOR01 sp036787775
GB_GCA_036803625	Thermoplasmatota	Thermoplasmata	DAIRED01 sp036795795
GB_GCA_035363095	Nanobdellota	Nanobdellia	DAOSEK01 sp035363095
GB_GCA_034659935	Halobacteriota	Methanomicrobia	DAOVRB01 sp034659935
GB_GCA_026016245	Nanobdellota	Nanobdellia	DAOWHW01 sp026016245
GB_GCA_032906765	Thermoproteota	Nitrososphaeria	DASPPF01 sp032906765
GB_GCA_041481365	Thermoproteota	Bathyarchaeia	DASPTR01 sp041481365
GB_GCA_035643635	Thermoproteota	Nitrososphaeria	DASQQB01 sp035643635
GB_GCA_036504055	Thermoplasmatota	Thermoplasmata	DASXVU01 sp036504055
GB_GCA_035291225	Aenigmatarchaeota	Aenigmatarchaeia	DATDSO01 sp035291225
GB_GCA_035290865	Nanobdellota	Nanobdellia	DATDTM01 sp035290865
